Quantity,Category,Discount,Region,Segment,Ship Mode,State,Sub-Category,Sales
6,Office Supplies,0.0,West,Corporate,Same Day,California,Art,10.08
7,Furniture,0.15,West,Corporate,First Class,California,Bookcases,1552.831
5,Office Supplies,0.2,West,Corporate,First Class,California,Binders,137.24
1,Technology,0.0,West,Corporate,First Class,California,Accessories,36.51
3,Technology,0.2,West,Corporate,First Class,California,Machines,239.976
7,Furniture,0.4,East,Corporate,Standard Class,New York,Tables,1579.746
4,Furniture,0.4,East,Corporate,Standard Class,New York,Tables,1071.576
3,Furniture,0.4,East,Corporate,Standard Class,New York,Tables,613.908
7,Office Supplies,0.0,East,Corporate,Standard Class,New York,Paper,34.86
4,Office Supplies,0.0,East,Corporate,Standard Class,New York,Paper,155.04
5,Office Supplies,0.7,East,Consumer,Standard Class,Ohio,Binders,13.71
2,Furniture,0.0,South,Home Office,Standard Class,Virginia,Furnishings,127.88
2,Office Supplies,0.0,South,Home Office,Standard Class,Virginia,Appliances,160.32
4,Office Supplies,0.0,South,Home Office,Standard Class,Virginia,Binders,46.0
1,Furniture,0.2,West,Consumer,Second Class,California,Chairs,120.712
4,Office Supplies,0.0,East,Consumer,First Class,Maryland,Paper,23.12
2,Office Supplies,0.2,East,Corporate,Standard Class,Ohio,Art,4.912
4,Technology,0.0,East,Corporate,Second Class,Rhode Island,Accessories,252.0
8,Furniture,0.6,Central,Corporate,Second Class,Illinois,Furnishings,60.288
1,Office Supplies,0.2,Central,Corporate,Second Class,Illinois,Fasteners,2.632
9,Office Supplies,0.2,Central,Corporate,Second Class,Illinois,Paper,23.688
2,Furniture,0.3,Central,Corporate,Second Class,Illinois,Chairs,253.372
3,Office Supplies,0.0,South,Consumer,Standard Class,Georgia,Fasteners,5.67
4,Office Supplies,0.7,East,Consumer,Second Class,Ohio,Binders,76.776
2,Office Supplies,0.2,East,Consumer,Second Class,Ohio,Supplies,9.184
5,Office Supplies,0.0,West,Home Office,Standard Class,California,Paper,32.75
2,Office Supplies,0.2,East,Home Office,Standard Class,Ohio,Fasteners,7.216
2,Office Supplies,0.2,East,Home Office,Standard Class,Ohio,Paper,49.568
7,Furniture,0.2,East,Home Office,Standard Class,Ohio,Furnishings,54.712
4,Office Supplies,0.0,West,Consumer,First Class,California,Appliances,176.04
9,Office Supplies,0.0,West,Consumer,First Class,California,Art,16.02
4,Office Supplies,0.2,West,Consumer,First Class,California,Binders,185.92
4,Technology,0.2,West,Consumer,First Class,California,Phones,211.168
2,Technology,0.2,West,Consumer,First Class,California,Copiers,479.984
2,Office Supplies,0.0,West,Consumer,First Class,California,Fasteners,7.86
2,Office Supplies,0.2,West,Consumer,First Class,California,Binders,24.448
1,Office Supplies,0.0,East,Consumer,Standard Class,New York,Paper,6.48
7,Office Supplies,0.0,East,Consumer,Standard Class,New York,Paper,41.86
9,Technology,0.0,East,Consumer,Standard Class,New York,Accessories,1619.91
4,Furniture,0.0,East,Consumer,Standard Class,New York,Furnishings,113.92
2,Office Supplies,0.0,East,Consumer,Standard Class,Massachusetts,Art,39.68
2,Technology,0.0,East,Corporate,Standard Class,New York,Accessories,37.6
2,Technology,0.0,East,Corporate,Standard Class,New York,Accessories,59.9
5,Office Supplies,0.0,East,Corporate,Standard Class,New York,Paper,37.0
2,Office Supplies,0.0,West,Consumer,Second Class,California,Labels,5.76
6,Office Supplies,0.0,West,Consumer,Second Class,California,Art,16.68
7,Office Supplies,0.0,South,Corporate,Standard Class,South Carolina,Storage,628.81
5,Office Supplies,0.0,South,Corporate,Standard Class,South Carolina,Storage,56.45
6,Office Supplies,0.0,Central,Consumer,Second Class,Missouri,Storage,94.2
5,Office Supplies,0.0,Central,Consumer,Second Class,Missouri,Envelopes,28.4
7,Furniture,0.32,Central,Corporate,Standard Class,Texas,Bookcases,956.6648
9,Technology,0.0,West,Consumer,Standard Class,California,Accessories,1115.91
7,Technology,0.2,West,Consumer,Standard Class,California,Phones,128.744
5,Office Supplies,0.0,West,Consumer,Standard Class,California,Art,24.2
3,Technology,0.2,West,Consumer,Standard Class,California,Phones,359.976
8,Furniture,0.0,West,Home Office,First Class,California,Furnishings,211.84
2,Office Supplies,0.2,East,Home Office,Standard Class,Pennsylvania,Fasteners,5.68
5,Office Supplies,0.2,West,Corporate,Second Class,California,Binders,7.52
2,Office Supplies,0.0,West,Consumer,Standard Class,California,Paper,11.96
3,Furniture,0.2,West,Consumer,Standard Class,California,Tables,629.064
5,Furniture,0.0,Central,Consumer,Standard Class,Wisconsin,Chairs,754.45
2,Furniture,0.0,East,Home Office,Standard Class,Massachusetts,Bookcases,301.96
5,Technology,0.0,West,Corporate,Standard Class,New Mexico,Accessories,595.0
3,Office Supplies,0.2,West,Corporate,Standard Class,New Mexico,Binders,79.872
10,Technology,0.2,West,Corporate,Standard Class,Nevada,Machines,2396.4
1,Technology,0.0,West,Corporate,Standard Class,California,Accessories,99.99
3,Office Supplies,0.2,Central,Home Office,Standard Class,Illinois,Storage,230.376
2,Office Supplies,0.2,Central,Home Office,Standard Class,Illinois,Paper,9.664
7,Technology,0.2,East,Consumer,Standard Class,Ohio,Accessories,158.928
1,Office Supplies,0.7,East,Consumer,Standard Class,Ohio,Binders,13.023
2,Furniture,0.4,East,Consumer,Standard Class,Ohio,Tables,273.06
13,Office Supplies,0.2,East,Consumer,Standard Class,Ohio,Fasteners,39.312
4,Office Supplies,0.8,Central,Corporate,Standard Class,Texas,Binders,1.344
4,Office Supplies,0.8,Central,Corporate,Standard Class,Texas,Binders,8.272
7,Furniture,0.6,Central,Corporate,Standard Class,Texas,Furnishings,12.544
8,Office Supplies,0.0,West,Home Office,Standard Class,California,Labels,58.48
2,Furniture,0.0,West,Corporate,Standard Class,Washington,Furnishings,7.4
7,Furniture,0.1,East,Consumer,Standard Class,New York,Chairs,366.786
4,Technology,0.2,Central,Consumer,Standard Class,Texas,Phones,54.368
2,Office Supplies,0.0,South,Corporate,First Class,Virginia,Envelopes,33.96
3,Office Supplies,0.0,South,Corporate,First Class,Virginia,Appliances,826.11
9,Furniture,0.0,West,Consumer,Standard Class,New Mexico,Furnishings,545.85
2,Furniture,0.5,West,Consumer,Second Class,Colorado,Tables,145.98
4,Office Supplies,0.2,West,Consumer,Second Class,Colorado,Paper,35.808
2,Furniture,0.2,South,Consumer,Standard Class,Florida,Furnishings,7.904
5,Technology,0.0,East,Consumer,Standard Class,New Jersey,Phones,345.0
2,Furniture,0.3,East,Consumer,Standard Class,New Jersey,Tables,174.286
4,Office Supplies,0.0,East,Consumer,Standard Class,New Jersey,Appliances,662.84
5,Technology,0.0,East,Consumer,Standard Class,New Jersey,Accessories,95.1
6,Office Supplies,0.0,East,Consumer,Standard Class,New Jersey,Envelopes,26.88
2,Technology,0.0,East,Consumer,Standard Class,New Jersey,Phones,257.98
2,Office Supplies,0.0,West,Consumer,Standard Class,California,Envelopes,17.48
5,Furniture,0.3,East,Consumer,Standard Class,Pennsylvania,Chairs,492.835
3,Office Supplies,0.0,South,Consumer,Second Class,South Carolina,Storage,269.49
5,Office Supplies,0.2,West,Home Office,Standard Class,California,Binders,29.12
5,Office Supplies,0.0,East,Consumer,Second Class,New York,Labels,18.75
6,Technology,0.0,East,Consumer,Second Class,New York,Phones,119.7
3,Technology,0.0,East,Consumer,Second Class,New York,Accessories,57.06
8,Technology,0.0,East,Consumer,Second Class,New York,Accessories,71.6
8,Office Supplies,0.0,East,Consumer,Second Class,New York,Storage,107.44
1,Office Supplies,0.0,East,Consumer,Second Class,New York,Labels,7.31
6,Office Supplies,0.0,East,Consumer,Second Class,New York,Art,59.1
3,Office Supplies,0.0,East,Consumer,Second Class,New York,Storage,46.53
2,Office Supplies,0.0,East,Consumer,Standard Class,New Jersey,Appliances,97.84
3,Office Supplies,0.0,West,Consumer,Second Class,Washington,Paper,29.97
5,Office Supplies,0.2,East,Consumer,Standard Class,New York,Binders,83.92
2,Office Supplies,0.2,East,Consumer,Standard Class,New York,Binders,14.624
1,Technology,0.0,East,Consumer,Standard Class,New York,Phones,136.99
1,Office Supplies,0.0,East,Consumer,Standard Class,New York,Labels,3.15
1,Office Supplies,0.0,South,Consumer,Standard Class,Virginia,Paper,9.11
4,Office Supplies,0.0,South,Consumer,Standard Class,Virginia,Storage,571.44
5,Office Supplies,0.0,South,Consumer,Standard Class,Virginia,Paper,32.4
1,Office Supplies,0.0,South,Consumer,Standard Class,Virginia,Storage,16.91
8,Furniture,0.2,South,Consumer,Standard Class,North Carolina,Furnishings,14.272
4,Furniture,0.2,South,Consumer,Standard Class,North Carolina,Bookcases,451.136
4,Office Supplies,0.2,South,Consumer,Standard Class,North Carolina,Appliances,64.864
2,Furniture,0.2,West,Consumer,First Class,California,Chairs,217.584
5,Technology,0.0,West,Consumer,First Class,California,Accessories,82.95
7,Office Supplies,0.0,West,Consumer,First Class,California,Labels,87.71
4,Office Supplies,0.0,West,Consumer,First Class,California,Appliances,1101.48
3,Furniture,0.2,West,Corporate,Second Class,California,Tables,1322.352
3,Office Supplies,0.0,East,Consumer,Standard Class,New York,Art,5.46
1,Office Supplies,0.2,Central,Consumer,Standard Class,Texas,Supplies,11.184
2,Office Supplies,0.2,Central,Consumer,Standard Class,Texas,Storage,153.584
6,Office Supplies,0.0,West,Consumer,Standard Class,Washington,Storage,1003.62
4,Technology,0.2,West,Home Office,Standard Class,Washington,Phones,35.168
5,Furniture,0.0,West,Home Office,Standard Class,Washington,Tables,1137.75
5,Office Supplies,0.2,West,Home Office,Standard Class,Washington,Binders,99.68
2,Office Supplies,0.0,West,Home Office,Standard Class,Washington,Art,5.56
2,Office Supplies,0.0,East,Corporate,Second Class,Delaware,Storage,85.52
3,Office Supplies,0.0,East,Corporate,Second Class,Delaware,Art,9.84
3,Office Supplies,0.0,East,Corporate,Second Class,Delaware,Paper,20.04
4,Technology,0.0,East,Consumer,Second Class,New York,Phones,631.96
4,Office Supplies,0.0,East,Consumer,Second Class,New York,Paper,23.92
6,Office Supplies,0.0,West,Consumer,Second Class,California,Paper,90.24
7,Technology,0.0,East,Consumer,Standard Class,New York,Phones,4548.81
5,Furniture,0.3,Central,Consumer,Second Class,Texas,Tables,300.93
5,Technology,0.2,Central,Consumer,Second Class,Texas,Phones,719.96
8,Furniture,0.0,Central,Consumer,Standard Class,Indiana,Chairs,647.84
3,Office Supplies,0.0,West,Home Office,Standard Class,California,Storage,64.17
2,Office Supplies,0.0,West,Home Office,Standard Class,California,Envelopes,124.46
1,Office Supplies,0.2,West,Corporate,Standard Class,California,Binders,9.584
3,Office Supplies,0.2,South,Consumer,First Class,Florida,Envelopes,37.608
4,Office Supplies,0.8,Central,Corporate,First Class,Illinois,Binders,2.304
4,Office Supplies,0.8,Central,Corporate,First Class,Illinois,Binders,9.36
2,Office Supplies,0.0,West,Consumer,Standard Class,California,Labels,7.38
4,Office Supplies,0.0,West,Consumer,Second Class,California,Storage,53.72
5,Office Supplies,0.0,West,Consumer,Second Class,California,Supplies,8187.65
8,Furniture,0.0,West,Consumer,Second Class,California,Furnishings,77.92
4,Office Supplies,0.8,Central,Consumer,Same Day,Texas,Appliances,32.784
3,Technology,0.2,West,Corporate,Standard Class,California,Phones,196.776
6,Technology,0.0,West,Corporate,Standard Class,California,Accessories,479.94
4,Office Supplies,0.0,Central,Home Office,Standard Class,Oklahoma,Storage,1117.92
6,Technology,0.0,South,Consumer,First Class,Louisiana,Accessories,106.5
5,Office Supplies,0.7,South,Home Office,Standard Class,Florida,Binders,45.66
4,Technology,0.2,Central,Corporate,Standard Class,Illinois,Accessories,95.968
2,Furniture,0.3,Central,Corporate,Standard Class,Illinois,Chairs,47.992
2,Office Supplies,0.2,East,Consumer,Standard Class,Ohio,Storage,264.32
9,Office Supplies,0.2,Central,Consumer,Standard Class,Texas,Envelopes,604.656
3,Furniture,0.0,East,Corporate,Standard Class,New Jersey,Furnishings,129.93
7,Office Supplies,0.0,Central,Home Office,Standard Class,Oklahoma,Labels,20.16
6,Office Supplies,0.0,Central,Home Office,Standard Class,Oklahoma,Labels,29.46
3,Office Supplies,0.0,Central,Home Office,Standard Class,Oklahoma,Appliances,868.59
2,Office Supplies,0.0,Central,Home Office,Standard Class,Oklahoma,Paper,12.96
1,Technology,0.0,Central,Home Office,Standard Class,Oklahoma,Phones,5.5
4,Office Supplies,0.0,Central,Home Office,Standard Class,Oklahoma,Binders,121.6
9,Office Supplies,0.2,Central,Consumer,Standard Class,Texas,Art,42.048
2,Technology,0.2,Central,Consumer,Standard Class,Texas,Accessories,25.488
3,Office Supplies,0.8,Central,Consumer,Standard Class,Texas,Binders,6.9
6,Office Supplies,0.8,Central,Consumer,Standard Class,Texas,Binders,9.648
2,Office Supplies,0.2,Central,Consumer,Standard Class,Texas,Paper,7.968
2,Office Supplies,0.2,South,Home Office,Standard Class,Florida,Paper,10.368
5,Office Supplies,0.0,South,Corporate,Standard Class,Arkansas,Paper,114.2
4,Office Supplies,0.0,South,Corporate,Standard Class,Arkansas,Binders,17.96
7,Office Supplies,0.0,South,Corporate,Standard Class,Arkansas,Fasteners,12.67
4,Technology,0.0,South,Corporate,Standard Class,Arkansas,Accessories,339.96
6,Office Supplies,0.2,East,Corporate,Second Class,Pennsylvania,Storage,1801.632
4,Technology,0.0,West,Corporate,First Class,California,Accessories,46.32
2,Furniture,0.3,East,Consumer,Second Class,Ohio,Chairs,181.986
4,Technology,0.4,East,Consumer,Second Class,Ohio,Phones,431.976
1,Technology,0.4,East,Consumer,Second Class,Ohio,Phones,155.37
6,Furniture,0.2,West,Corporate,Same Day,California,Chairs,1348.704
3,Furniture,0.2,West,Corporate,Same Day,California,Chairs,700.152
7,Furniture,0.2,West,Corporate,Standard Class,Arizona,Furnishings,111.888
3,Office Supplies,0.2,East,Corporate,Second Class,Pennsylvania,Appliances,143.952
3,Furniture,0.0,East,Home Office,Standard Class,Massachusetts,Bookcases,173.94
4,Office Supplies,0.0,East,Home Office,Standard Class,Massachusetts,Labels,14.76
1,Furniture,0.15,West,Consumer,Standard Class,California,Bookcases,102.833
1,Office Supplies,0.2,West,Consumer,Standard Class,Arizona,Art,2.304
5,Technology,0.2,West,Consumer,Standard Class,Arizona,Phones,1879.96
8,Office Supplies,0.2,West,Consumer,Standard Class,Arizona,Paper,313.024
2,Office Supplies,0.2,West,Consumer,Standard Class,Arizona,Labels,5.04
6,Furniture,0.0,South,Consumer,Standard Class,Kentucky,Furnishings,821.88
2,Office Supplies,0.0,South,Consumer,Standard Class,Kentucky,Binders,21.96
4,Office Supplies,0.0,South,Home Office,Standard Class,South Carolina,Paper,25.92
7,Technology,0.2,South,Consumer,Standard Class,Florida,Phones,705.544
2,Technology,0.0,East,Consumer,Standard Class,New York,Accessories,50.0
8,Furniture,0.6,Central,Corporate,Standard Class,Texas,Furnishings,51.712
2,Office Supplies,0.2,South,Corporate,Standard Class,Florida,Appliances,6.992
7,Furniture,0.0,West,Consumer,Standard Class,Utah,Bookcases,1406.86
5,Office Supplies,0.0,West,Consumer,Standard Class,Utah,Labels,15.75
2,Office Supplies,0.0,West,Consumer,Standard Class,Utah,Storage,323.1
4,Office Supplies,0.2,South,Consumer,Standard Class,Tennessee,Labels,9.216
2,Office Supplies,0.2,South,Consumer,Standard Class,Tennessee,Paper,10.368
1,Technology,0.0,East,Corporate,Second Class,New York,Accessories,15.02
2,Office Supplies,0.0,East,Corporate,Second Class,New York,Storage,33.82
4,Technology,0.0,South,Consumer,First Class,Kentucky,Accessories,71.0
5,Office Supplies,0.2,West,Consumer,Second Class,Washington,Binders,25.12
9,Furniture,0.0,West,Consumer,Second Class,Washington,Tables,2665.62
8,Office Supplies,0.0,East,Corporate,Standard Class,New York,Storage,478.08
2,Technology,0.4,East,Corporate,Same Day,Ohio,Phones,164.388
4,Office Supplies,0.2,East,Corporate,Same Day,Ohio,Art,13.248
2,Office Supplies,0.2,Central,Home Office,Standard Class,Illinois,Art,2.912
7,Technology,0.2,Central,Consumer,Second Class,Texas,Accessories,1399.944
5,Furniture,0.0,Central,Home Office,Standard Class,Indiana,Furnishings,526.45
3,Office Supplies,0.0,South,Corporate,Standard Class,Georgia,Envelopes,16.23
5,Office Supplies,0.0,South,Corporate,Standard Class,Georgia,Binders,319.9
2,Office Supplies,0.0,South,Corporate,Standard Class,Georgia,Envelopes,11.36
3,Office Supplies,0.0,South,Corporate,Standard Class,Georgia,Appliances,675.12
3,Furniture,0.0,South,Home Office,Standard Class,Virginia,Furnishings,62.82
8,Office Supplies,0.0,South,Home Office,Standard Class,Virginia,Storage,489.92
13,Technology,0.0,South,Home Office,Standard Class,Virginia,Phones,155.35
3,Furniture,0.0,South,Home Office,Standard Class,Virginia,Furnishings,12.42
2,Technology,0.0,South,Home Office,Standard Class,Virginia,Phones,187.98
2,Office Supplies,0.2,Central,Corporate,Standard Class,Texas,Envelopes,6.608
7,Office Supplies,0.0,East,Consumer,Standard Class,New York,Storage,248.57
1,Furniture,0.0,East,Consumer,Standard Class,New York,Furnishings,22.23
1,Office Supplies,0.0,West,Home Office,Standard Class,California,Storage,5.98
3,Technology,0.2,West,Home Office,Standard Class,California,Phones,246.168
2,Furniture,0.6,Central,Consumer,Standard Class,Illinois,Furnishings,14.136
3,Furniture,0.5,Central,Consumer,Standard Class,Illinois,Tables,601.47
2,Technology,0.0,South,Corporate,Second Class,South Carolina,Phones,79.1
2,Office Supplies,0.0,Central,Corporate,Standard Class,Indiana,Envelopes,180.96
3,Office Supplies,0.0,Central,Corporate,Standard Class,Indiana,Binders,914.97
3,Technology,0.0,Central,Corporate,Standard Class,Indiana,Phones,587.97
2,Office Supplies,0.0,Central,Corporate,Standard Class,Indiana,Storage,530.34
3,Office Supplies,0.0,Central,Corporate,Standard Class,Indiana,Paper,14.94
2,Office Supplies,0.0,East,Consumer,Standard Class,New York,Appliances,121.94
7,Office Supplies,0.0,East,Consumer,Standard Class,New York,Supplies,122.71
3,Office Supplies,0.0,East,Consumer,Same Day,New York,Paper,14.94
3,Technology,0.0,East,Consumer,Same Day,New York,Machines,1349.85
1,Furniture,0.2,East,Consumer,Same Day,New York,Bookcases,136.784
1,Office Supplies,0.7,South,Corporate,Standard Class,Florida,Binders,1.167
1,Office Supplies,0.0,West,Home Office,Standard Class,California,Art,16.99
3,Technology,0.2,Central,Corporate,Standard Class,Texas,Accessories,24.672
1,Office Supplies,0.2,Central,Corporate,Standard Class,Texas,Labels,2.52
5,Furniture,0.3,Central,Corporate,Standard Class,Texas,Tables,1218.735
2,Office Supplies,0.2,Central,Corporate,Standard Class,Texas,Labels,5.904
3,Office Supplies,0.2,Central,Corporate,Standard Class,Texas,Paper,15.696
3,Furniture,0.6,Central,Corporate,Standard Class,Texas,Furnishings,6.096
2,Furniture,0.2,West,Corporate,Standard Class,California,Chairs,41.568
3,Furniture,0.2,West,Corporate,Standard Class,California,Chairs,230.28
2,Office Supplies,0.0,West,Consumer,Standard Class,California,Labels,5.78
13,Office Supplies,0.2,West,Consumer,Standard Class,California,Binders,121.68
3,Office Supplies,0.0,West,Corporate,Standard Class,New Mexico,Art,4.17
4,Technology,0.2,West,Corporate,Standard Class,New Mexico,Phones,67.04
3,Office Supplies,0.0,West,Corporate,Standard Class,New Mexico,Storage,37.32
5,Office Supplies,0.0,West,Corporate,Standard Class,New Mexico,Labels,18.45
4,Office Supplies,0.0,Central,Corporate,Second Class,Missouri,Paper,25.92
4,Technology,0.2,East,Home Office,First Class,New York,Copiers,11199.968
8,Technology,0.0,East,Home Office,First Class,New York,Phones,2399.6
5,Office Supplies,0.0,East,Home Office,First Class,New York,Envelopes,63.9
1,Technology,0.0,East,Home Office,First Class,New York,Phones,52.99
4,Technology,0.2,East,Corporate,First Class,Ohio,Accessories,60.864
7,Technology,0.7,East,Corporate,First Class,Ohio,Machines,652.995
10,Office Supplies,0.7,East,Corporate,First Class,Ohio,Binders,11.22
3,Office Supplies,0.0,Central,Consumer,Standard Class,Oklahoma,Paper,14.94
2,Furniture,0.0,West,Consumer,Standard Class,Washington,Furnishings,39.96
2,Furniture,0.2,West,Consumer,Standard Class,Washington,Chairs,42.624
1,Furniture,0.2,West,Consumer,Standard Class,Washington,Chairs,220.96
2,Furniture,0.2,South,Corporate,Second Class,North Carolina,Furnishings,4.928
5,Office Supplies,0.7,South,Corporate,Second Class,North Carolina,Binders,7.23
2,Office Supplies,0.0,West,Corporate,Standard Class,California,Storage,323.1
4,Office Supplies,0.0,East,Consumer,Standard Class,New York,Paper,19.04
3,Office Supplies,0.2,East,Consumer,Standard Class,New York,Binders,13.128
3,Office Supplies,0.0,East,Consumer,Standard Class,New York,Art,64.14
4,Furniture,0.1,East,Consumer,Standard Class,New York,Chairs,858.24
1,Technology,0.0,South,Consumer,Standard Class,Arkansas,Accessories,29.99
6,Office Supplies,0.2,Central,Consumer,First Class,Illinois,Paper,186.048
1,Technology,0.2,South,Home Office,Second Class,North Carolina,Phones,36.792
8,Furniture,0.2,South,Home Office,Second Class,North Carolina,Furnishings,18.624
3,Furniture,0.0,Central,Consumer,Second Class,Oklahoma,Furnishings,57.69
3,Office Supplies,0.0,Central,Consumer,Second Class,Oklahoma,Binders,42.81
2,Office Supplies,0.0,Central,Consumer,Second Class,Oklahoma,Paper,12.96
6,Furniture,0.0,Central,Consumer,Second Class,Oklahoma,Furnishings,821.88
3,Technology,0.0,Central,Consumer,Second Class,Oklahoma,Phones,104.85
5,Furniture,0.15,West,Corporate,Standard Class,California,Bookcases,424.9575
3,Office Supplies,0.2,West,Corporate,Second Class,Utah,Binders,10.776
3,Office Supplies,0.0,West,Corporate,Second Class,Utah,Paper,164.88
3,Furniture,0.0,West,Corporate,Second Class,Utah,Bookcases,1292.94
2,Office Supplies,0.2,West,Corporate,Second Class,Utah,Binders,25.584
2,Office Supplies,0.0,West,Corporate,Second Class,Utah,Storage,261.74
5,Office Supplies,0.0,West,Corporate,Second Class,Utah,Labels,14.4
3,Office Supplies,0.0,West,Consumer,Standard Class,California,Envelopes,10.86
4,Furniture,0.2,West,Corporate,Standard Class,Arizona,Chairs,883.84
11,Technology,0.0,East,Corporate,Standard Class,New York,Phones,1979.89
2,Office Supplies,0.0,East,Corporate,Standard Class,New York,Envelopes,79.96
2,Office Supplies,0.0,Central,Home Office,First Class,Missouri,Binders,8.76
1,Office Supplies,0.2,South,Consumer,First Class,Tennessee,Labels,3.984
3,Furniture,0.4,South,Consumer,First Class,Tennessee,Tables,370.62
2,Office Supplies,0.7,South,Consumer,First Class,Tennessee,Binders,2.742
3,Technology,0.2,Central,Consumer,Same Day,Texas,Accessories,79.512
1,Office Supplies,0.2,Central,Consumer,Same Day,Texas,Paper,28.352
1,Furniture,0.2,West,Home Office,Standard Class,California,Chairs,40.784
4,Office Supplies,0.0,West,Home Office,Standard Class,California,Appliances,105.96
3,Office Supplies,0.0,East,Corporate,Second Class,Massachusetts,Paper,166.44
6,Furniture,0.0,East,Corporate,Second Class,Massachusetts,Chairs,785.88
2,Office Supplies,0.0,East,Corporate,Second Class,Massachusetts,Paper,26.2
5,Office Supplies,0.0,East,Corporate,Second Class,Massachusetts,Storage,1325.85
3,Office Supplies,0.0,West,Consumer,Same Day,California,Paper,166.44
5,Office Supplies,0.2,South,Consumer,Standard Class,North Carolina,Art,8.76
1,Office Supplies,0.2,South,Consumer,Standard Class,North Carolina,Appliances,43.584
7,Office Supplies,0.7,West,Consumer,Same Day,Colorado,Binders,11.088
2,Office Supplies,0.7,West,Consumer,Same Day,Colorado,Binders,25.164
5,Office Supplies,0.0,Central,Home Office,Standard Class,Michigan,Binders,14.4
5,Technology,0.0,Central,Home Office,Standard Class,Michigan,Accessories,619.95
4,Office Supplies,0.0,Central,Home Office,Standard Class,Michigan,Binders,89.52
3,Technology,0.1,Central,Home Office,Standard Class,Michigan,Machines,350.973
1,Technology,0.0,Central,Home Office,Standard Class,Michigan,Phones,164.99
9,Office Supplies,0.2,West,Consumer,Standard Class,California,Binders,312.552
3,Office Supplies,0.2,South,Consumer,Standard Class,North Carolina,Envelopes,95.952
2,Office Supplies,0.7,South,Consumer,Standard Class,North Carolina,Binders,3.204
5,Office Supplies,0.8,Central,Consumer,First Class,Illinois,Binders,3.98
5,Office Supplies,0.0,West,Corporate,First Class,California,Paper,15.7
4,Office Supplies,0.2,Central,Consumer,First Class,Illinois,Art,5.248
3,Office Supplies,0.7,East,Consumer,Standard Class,Pennsylvania,Binders,5.346
3,Office Supplies,0.2,West,Consumer,Standard Class,Colorado,Paper,15.48
3,Technology,0.2,West,Consumer,Standard Class,Colorado,Phones,108.576
1,Furniture,0.2,South,Consumer,Standard Class,Florida,Furnishings,15.384
2,Office Supplies,0.2,East,Consumer,First Class,Ohio,Paper,30.352
4,Technology,0.5,South,Home Office,Standard Class,Florida,Machines,821.3
6,Technology,0.5,South,Home Office,Standard Class,Florida,Machines,22638.48
4,Office Supplies,0.2,South,Home Office,Standard Class,Florida,Paper,21.376
3,Office Supplies,0.2,South,Home Office,Standard Class,Florida,Art,8.016
2,Furniture,0.2,South,Home Office,Standard Class,Florida,Furnishings,30.768
3,Office Supplies,0.2,South,Home Office,Standard Class,Florida,Fasteners,18.936
3,Furniture,0.2,South,Home Office,Standard Class,Florida,Furnishings,122.352
3,Office Supplies,0.0,East,Consumer,Standard Class,Maryland,Paper,116.28
6,Technology,0.0,East,Consumer,Second Class,New York,Accessories,132.6
2,Office Supplies,0.0,West,Home Office,Standard Class,New Mexico,Supplies,16.68
3,Office Supplies,0.0,West,Home Office,Standard Class,New Mexico,Paper,19.44
4,Office Supplies,0.0,West,Home Office,Standard Class,New Mexico,Paper,192.16
7,Furniture,0.0,West,Consumer,Standard Class,California,Furnishings,227.36
3,Technology,0.2,West,Consumer,Standard Class,California,Machines,1919.976
2,Office Supplies,0.7,South,Consumer,Standard Class,Florida,Binders,12.828
4,Furniture,0.2,East,Corporate,First Class,Ohio,Furnishings,45.888
9,Office Supplies,0.0,East,Consumer,Second Class,New York,Art,60.12
3,Technology,0.2,South,Consumer,Standard Class,North Carolina,Phones,302.376
5,Office Supplies,0.0,West,Home Office,Standard Class,Washington,Art,13.9
2,Technology,0.0,East,Corporate,Standard Class,New York,Phones,129.98
2,Technology,0.0,South,Home Office,Standard Class,Georgia,Accessories,71.98
3,Technology,0.0,East,Consumer,Standard Class,New York,Phones,377.97
2,Office Supplies,0.0,West,Consumer,Standard Class,California,Storage,124.36
3,Furniture,0.6,Central,Consumer,Second Class,Texas,Furnishings,23.976
3,Office Supplies,0.2,South,Corporate,Second Class,North Carolina,Fasteners,8.376
5,Office Supplies,0.2,South,Corporate,Second Class,North Carolina,Appliances,58.24
5,Office Supplies,0.0,South,Consumer,Second Class,Virginia,Storage,81.2
5,Office Supplies,0.0,West,Consumer,Standard Class,California,Labels,14.45
2,Office Supplies,0.2,West,Consumer,Standard Class,California,Binders,95.648
5,Technology,0.4,East,Consumer,Standard Class,Pennsylvania,Phones,359.97
4,Furniture,0.4,East,Consumer,Standard Class,Pennsylvania,Tables,350.352
1,Office Supplies,0.7,East,Consumer,First Class,Ohio,Binders,1.641
7,Technology,0.4,East,Consumer,First Class,Ohio,Phones,629.958
3,Office Supplies,0.0,West,Consumer,Standard Class,Washington,Art,6.63
4,Technology,0.0,West,Consumer,Standard Class,Washington,Accessories,799.96
1,Furniture,0.0,West,Consumer,Standard Class,Washington,Furnishings,107.53
2,Technology,0.0,East,Consumer,Standard Class,New Jersey,Phones,73.98
1,Office Supplies,0.0,East,Consumer,Standard Class,New Jersey,Art,5.58
4,Office Supplies,0.0,West,Consumer,Second Class,New Mexico,Paper,49.12
3,Technology,0.0,East,Consumer,Standard Class,Delaware,Phones,377.97
7,Office Supplies,0.0,East,Consumer,Standard Class,Delaware,Paper,42.28
